订购日期,所属区域,产品类别,数量,销售额,成本
11/30/2007,苏州,暖靴,300,"17,581.29 ","16,592.95 "
11/30/2007,苏州,睡袋,300,"28,263.59 ","25,988.99 "
11/30/2007,常熟,睡袋,300,"19,606.47 ","15,318.33 "
11/30/2007,苏州,睡袋,300,"28,041.04 ","21,038.21 "
11/30/2007,常熟,睡袋,350,"13,371.42 ","12,044.94 "
11/30/2007,苏州,睡袋,400,"14,688.16 ","12,182.98 "
11/30/2007,苏州,睡袋,300,"33,382.19 ","27,066.00 "
11/30/2007,苏州,睡袋,350,"18,745.96 ","20,424.60 "
11/30/2007,苏州,睡袋,200,"21,780.03 ","18,157.72 "
11/30/2007,苏州,睡袋,700,"50,629.66 ","41,843.75 "
12/12/2007,苏州,睡袋,200,"27,551.44 ","22,559.30 "
11/30/2007,苏州,睡袋,1000,"77,891.78 ","65,748.74 "
3/16/2007,苏州,睡袋,300,"18,916.58 ","16,784.97 "
3/16/2007,常熟,宠物用品,800,"57,862.47 ","49,240.48 "
1/24/2007,常熟,宠物用品,300,"26,817.03 ","28,908.25 "
5/31/2007,苏州,服装,300,"27,373.40 ","29,534.38 "
1/24/2007,昆山,睡袋,300,"29,665.64 ","30,691.92 "
2/13/2007,昆山,睡袋,350,"45,696.51 ","35,954.52 "
3/21/2007,昆山,睡袋,350,"15,188.90 ","14,452.34 "
4/28/2007,昆山,睡袋,750,"36,164.04 ","28,763.83 "
5/25/2007,昆山,睡袋,350,"25,963.93 ","21,767.53 "
1/24/2007,苏州,睡袋,400,"45,963.57 ","35,530.36 "
2/13/2007,苏州,睡袋,400,"26,854.12 ","21,047.73 "
3/21/2007,苏州,睡袋,400,"24,331.91 ","19,031.68 "
4/28/2007,苏州,睡袋,500,"44,249.95 ","34,887.21 "
5/25/2007,苏州,睡袋,600,"44,109.00 ","34,342.33 "
3/21/2007,常熟,宠物用品,500,"49,516.92 ","35,842.35 "
4/28/2007,常熟,宠物用品,850,"133,487.97 ","105,034.78 "
5/25/2007,常熟,宠物用品,300,"40,436.96 ","33,046.97 "
6/18/2007,常熟,宠物用品,400,"24,331.91 ","19,038.50 "
7/19/2007,常熟,宠物用品,500,"36,757.50 ","22,331.26 "
8/22/2007,常熟,宠物用品,400,"39,613.54 ","28,728.01 "
9/18/2007,常熟,宠物用品,700,"109,931.27 ","86,599.49 "
10/22/2007,常熟,宠物用品,200,"3,234.36 ","1,287.41 "
11/27/2007,常熟,宠物用品,200,"3,234.36 ","1,274.09 "
12/12/2007,常熟,宠物用品,200,"3,234.36 ","1,414.56 "
7/16/2007,常熟,睡袋,500,"8,085.91 ","3,179.90 "
9/14/2007,常熟,睡袋,500,"8,085.91 ","3,146.60 "
10/19/2007,常熟,睡袋,500,"8,085.91 ","3,486.92 "
11/20/2007,常熟,睡袋,500,"11,090.31 ","6,873.55 "
2/1/2007,无锡,警告标,504,"10,506.04 ","6,107.17 "
2/13/2007,常熟,宠物用品,504,"10,506.04 ","6,106.89 "
11/30/2007,苏州,睡袋,120,"2,848.61 ","1,862.41 "
11/30/2007,苏州,睡袋,200,"4,436.12 ","2,896.92 "
11/30/2007,苏州,睡袋,180,"5,581.50 ","4,044.80 "
11/30/2007,苏州,睡袋,357,"9,745.82 ","8,702.00 "
11/30/2007,苏州,睡袋,357,"9,745.82 ","8,780.29 "
11/30/2007,苏州,睡袋,492,"11,971.30 ","11,462.51 "
12/12/2007,苏州,睡袋,492,"11,971.30 ","11,322.36 "
11/30/2007,苏州,睡袋,600,"19,673.24 ","16,156.10 "
7/16/2007,苏州,睡袋,600,"25,904.58 ","21,108.18 "
9/14/2007,苏州,睡袋,552,"28,950.82 ","13,483.05 "
10/19/2007,苏州,睡袋,560,"38,468.15 ","34,171.56 "
11/20/2007,苏州,睡袋,5907,"161,256.46 ","142,566.33 "
11/30/2007,常熟,暖靴,5907,"161,256.46 ","142,605.59 "
11/30/2007,常熟,睡袋,4104,"146,742.78 ","136,749.04 "
11/30/2007,常熟,睡袋,2300,"122,846.47 ","96,140.54 "
11/30/2007,常熟,睡袋,1150,"61,423.23 ","48,373.08 "
11/30/2007,常熟,睡袋,1150,"61,423.23 ","44,929.98 "
11/30/2007,常熟,睡袋,2300,"122,846.47 ","109,820.83 "
11/30/2007,常熟,睡袋,1150,"61,423.23 ","53,433.78 "
11/30/2007,常熟,睡袋,1150,"61,423.23 ","50,038.81 "
12/12/2007,常熟,睡袋,1000,"46,660.89 ","33,542.15 "
11/30/2007,常熟,睡袋,4500,"307,449.99 ","295,624.36 "
8/15/2007,苏州,服装,2000,"213,200.94 ","207,873.77 "
2/7/2007,无锡,暖靴,1500,"69,991.33 ","52,270.35 "
3/16/2007,常熟,睡袋,295,"31,447.14 ","21,648.34 "
4/28/2007,苏州,彩盒,2000,"213,200.94 ","196,237.32 "
7/19/2007,昆山,睡袋,500,"25,407.56 ","20,904.41 "
8/22/2007,昆山,睡袋,500,"25,407.56 ","20,608.71 "
9/18/2007,昆山,睡袋,3000,"264,832.06 ","222,258.50 "
10/22/2007,昆山,睡袋,2705,"288,354.27 ","198,504.23 "
11/27/2007,昆山,睡袋,1512,"142,448.49 ","137,021.67 "
12/12/2007,昆山,睡袋,1512,"142,448.49 ","138,594.55 "
3/16/2007,苏州,宠物用品,1512,"142,448.49 ","138,577.99 "
5/31/2007,常熟,服装,1512,"142,448.49 ","137,427.88 "
12/4/2007,南京,彩盒,1512,"142,448.49 ","135,432.15 "
5/31/2007,苏州,彩盒,1644,"45,123.82 ","39,619.32 "
6/13/2007,苏州,彩盒,780,"21,409.11 ","18,970.37 "
7/16/2007,苏州,彩盒,176,"25,198.36 ","21,338.99 "
8/22/2007,苏州,彩盒,132,"16,842.43 ","19,639.76 "
9/14/2007,苏州,彩盒,352,"48,829.99 ","46,321.58 "
12/4/2007,南京,暖靴,440,"59,568.67 ","57,198.11 "
12/4/2007,南京,暖靴,180,"4,206.16 ","4,315.59 "
12/4/2007,南京,暖靴,180,"4,206.16 ","4,315.59 "
12/4/2007,南京,暖靴,1872,"43,744.03 ","44,854.86 "
12/4/2007,南京,暖靴,1872,"43,744.03 ","44,429.78 "
9/25/2007,无锡,彩盒,993,"23,203.96 ","22,306.50 "
8/29/2007,无锡,警告标,993,"23,203.96 ","22,071.18 "
6/18/2007,昆山,睡袋,894,"20,890.58 ","23,712.23 "
6/18/2007,苏州,睡袋,894,"20,890.58 ","20,528.44 "
7/19/2007,苏州,睡袋,792,"18,507.09 ","18,988.62 "
8/22/2007,苏州,睡袋,792,"18,507.09 ","18,770.80 "
9/18/2007,苏州,睡袋,1686,"39,397.66 ","37,475.99 "
